"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 20 04:27:18 UTC 2023","Fri Oct 20 04:27:20 UTC 2023","2870","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Fri Oct 20 04:57:42 UTC 2023","Fri Oct 20 04:58:00 UTC 2023","18641","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Oct 20 02:20:48 UTC 2023","Fri Oct 20 02:21:24 UTC 2023","35644","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"failed","Fri Oct 20 03:09:32 UTC 2023","Fri Oct 20 03:12:03 UTC 2023","150753","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Oct 20 03:06:45 UTC 2023","Fri Oct 20 03:06:49 UTC 2023","3653","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Oct 20 04:49:16 UTC 2023","Fri Oct 20 04:49:32 UTC 2023","15514","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Oct 20 05:37:27 UTC 2023","Fri Oct 20 05:37:33 UTC 2023","5553","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Oct 20 03:21:26 UTC 2023","Fri Oct 20 03:21:38 UTC 2023","11519","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Oct 20 05:04:28 UTC 2023","Fri Oct 20 05:04:39 UTC 2023","10884","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Oct 20 05:01:34 UTC 2023","Fri Oct 20 05:01:36 UTC 2023","1868","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Oct 20 05:04:39 UTC 2023","Fri Oct 20 05:05:03 UTC 2023","23498","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Oct 20 02:36:09 UTC 2023","Fri Oct 20 02:36:18 UTC 2023","9368","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Oct 20 02:21:35 UTC 2023","Fri Oct 20 02:21:57 UTC 2023","22667","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Oct 20 04:27:20 UTC 2023","Fri Oct 20 04:27:24 UTC 2023","3155","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Oct 20 02:22:10 UTC 2023","Fri Oct 20 02:22:46 UTC 2023","36483","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Oct 20 02:29:59 UTC 2023","Fri Oct 20 02:30:03 UTC 2023","4119","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Oct 20 04:58:00 UTC 2023","Fri Oct 20 04:58:10 UTC 2023","10017","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Oct 20 02:20:06 UTC 2023","Fri Oct 20 02:20:06 UTC 2023","54","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Oct 20 04:27:27 UTC 2023","Fri Oct 20 04:27:32 UTC 2023","4880","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Oct 20 02:39:43 UTC 2023","Fri Oct 20 02:39:43 UTC 2023","808","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Oct 20 04:19:35 UTC 2023","Fri Oct 20 04:20:19 UTC 2023","43149","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Oct 20 03:38:01 UTC 2023","Fri Oct 20 03:38:02 UTC 2023","1085","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Oct 20 02:23:19 UTC 2023","Fri Oct 20 02:23:22 UTC 2023","3062","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Fri Oct 20 03:08:03 UTC 2023","Fri Oct 20 03:08:06 UTC 2023","2814","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Oct 20 04:27:32 UTC 2023","Fri Oct 20 04:27:49 UTC 2023","17819","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
